node.ID,node.`closeness`,node.DEST,node.ORIG
820,0.48048048,"139.3674806,35.81789711",
719,0.48,"139.6685559,35.50351952",
791,0.48,"139.3459347,35.55913417",
814,0.48,"139.5835272,35.83703685",
1033,0.48,"139.6905137,35.56424052",
1071,0.48,"139.8314344,35.63884089",
1076,0.48,"139.8011918,35.6828198",
4211,0.479281078,,"139.7790324,35.65777559"
738,0.479041916,"139.6662332,35.54618803",
796,0.479041916,"139.7179082,35.8138702",
1057,0.479041916,"139.798086,35.72266805",
1096,0.479041916,"139.6183899,35.74402599",
7217,0.478802993,,"139.6808978,35.61920867"
691,0.478087649,"139.5742719,35.46240376",
915,0.478087649,"139.9607705,35.79389251",
986,0.478087649,"139.6302403,35.88666417",
1159,0.478087649,"139.2793114,35.67541436",
11913,0.477849676,,"139.7148346,35.5625941"
782,0.47761194,"139.4602964,35.45752333",
898,0.477137177,"139.9388314,35.70068142",
1032,0.477137177,"139.7133435,35.54796544",
1118,0.477137177,"139.8847711,35.73064287",
836,0.476663357,"139.7731336,35.88214154",
19364,0.476426799,,"139.7795161,35.73804087"
904,0.476190476,"140.0516893,35.71494407",
912,0.476190476,"139.9065541,35.80811759",
921,0.476190476,"139.9673073,35.90036714",
32231,0.475954388,,"139.7025104,35.75068756"
14590,0.475482912,,"139.7314637,35.71996232"
906,0.475247525,"139.9901638,35.70307017",
910,0.475247525,"139.9843903,35.73076969",
923,0.475247525,"140.0278847,35.87731091",
996,0.475247525,"139.6478354,35.83788215",
1077,0.475247525,"139.815395,35.68444016",
6869,0.474542758,,"139.7045167,35.63454693"
10264,0.474542758,,"139.7572248,35.57975848"
26149,0.474542758,,"139.6748936,35.70599871"
783,0.4743083,"139.4501961,35.50073944",
1064,0.4743083,"139.8065515,35.70603732",
1142,0.4743083,"139.3560332,35.70771773",
1173,0.4743083,"139.6380277,35.44704104",
1034,0.473372781,"139.6745243,35.58645444",
1107,0.473372781,"139.8385353,35.77510687",
1116,0.473372781,"139.8466707,35.70243341",
777,0.472906404,"139.3440592,35.43339947",
911,0.472906404,"139.8995348,35.77323648",
22456,0.47267356,,"139.8001083,35.69497339"
33082,0.47267356,,"139.7156401,35.78123441"
46051,0.47267356,,"139.3839387,35.6240288"
693,0.472440945,"139.5508523,35.43166366",
795,0.472440945,"139.7072737,35.80257627",
830,0.472440945,"139.7867177,35.84912748",
894,0.472440945,"139.9402746,35.72761472",
913,0.472440945,"139.9239347,35.83193372",
25126,0.472208559,,"139.7995729,35.67318708"
701,0.471976401,"139.5277946,35.46065322",
902,0.471976401,"140.0166772,35.67405663",
7550,0.471744472,,"139.6892333,35.64785201"
38408,0.471744472,,"139.5604214,35.68476942"
724,0.47151277,"139.6479695,35.49371965",
786,0.47151277,"139.3928914,35.43773644",
837,0.47151277,"139.7679725,35.92052632",
920,0.47151277,"139.9738125,35.82620506",
1162,0.47151277,"139.3153234,35.76399039",
33726,0.470819029,,"139.7442217,35.74438911"
755,0.470588235,"139.476632,35.60655032",
799,0.470588235,"139.7420897,35.86220322",
993,0.470588235,"139.6492708,35.87040679",
1144,0.470127326,"139.3838793,35.75043498",
722,0.469667319,"139.6560378,35.52073535",
745,0.469667319,"139.6007048,35.60465133",
752,0.469667319,"139.5308971,35.62958969",
990,0.469667319,"139.6191592,35.85138216",
1067,0.469667319,"139.813861,35.71975672",
37314,0.469437653,,"139.864997,35.6591891"
40264,0.469437653,,"139.4664105,35.67548488"
702,0.469208211,"139.5151505,35.48872586",
9925,0.468978994,,"139.7186254,35.57677553"
22121,0.468978994,,"139.813673,35.69721479"
818,0.46875,"139.4982557,35.81177028",
838,0.46875,"139.803334,35.91741093",
892,0.46875,"140.0648446,35.63002328",
1161,0.46875,"139.3363283,35.73600741",
1184,0.46875,"139.5908369,35.4247157",
23497,0.468064359,,"139.8320084,35.66476368"
725,0.467836257,"139.6331078,35.48385735",
908,0.467836257,"139.9558399,35.71153118",
919,0.467836257,"139.9775062,35.8635168",
789,0.467380721,"139.3895161,35.51951265",
833,0.467380721,"139.8393729,35.81940049",
839,0.467380721,"139.8125254,35.87588086",
1063,0.467380721,"139.82015,35.71217015",
34549,0.467153285,,"139.8112359,35.78472475"
