ID,ORIG
426,"139.7570442,35.68431018"
427,"139.7570442,35.68431018"
428,"139.7570442,35.68431018"
429,"139.7570442,35.68431018"
430,"139.7570442,35.68431018"
431,"139.7570442,35.68431018"
432,"139.7570442,35.68431018"
433,"139.7570442,35.68431018"
434,"139.7570442,35.68431018"
435,"139.7570442,35.68431018"
436,"139.7570442,35.68431018"
437,"139.7570442,35.68431018"
438,"139.7570442,35.68431018"
439,"139.7570442,35.68431018"
440,"139.7570442,35.68431018"
441,"139.7570442,35.68431018"
442,"139.7570442,35.68431018"
443,"139.7570442,35.68431018"
444,"139.7570442,35.68431018"
445,"139.7570442,35.68431018"
446,"139.7570442,35.68431018"
447,"139.7570442,35.68431018"
448,"139.7570442,35.68431018"
449,"139.7570442,35.68431018"
450,"139.7570442,35.68431018"
451,"139.7570442,35.68431018"
452,"139.7570442,35.68431018"
453,"139.7570442,35.68431018"
454,"139.7570442,35.68431018"
455,"139.7570442,35.68431018"
456,"139.7570442,35.68431018"
457,"139.7570442,35.68431018"
458,"139.7570442,35.68431018"
459,"139.7570442,35.68431018"
460,"139.7570442,35.68431018"
461,"139.7570442,35.68431018"
462,"139.7570442,35.68431018"
463,"139.7570442,35.68431018"
464,"139.7570442,35.68431018"
465,"139.7570442,35.68431018"
466,"139.7570442,35.68431018"
467,"139.7570442,35.68431018"
